"Row ID","ODR Reference","Data Recipient","Organisation Type","Purpose","Data Source","Data Type provided to applicant ","Legal basis for the release of personally identifiable data","Date of release"
"DRR66","ODR_2014_246","Queen Mary University of London","Academic Institution","A retrospective population based study will be carried out in patients registered on UK regional cancer registry databases as having prostate cancer diagnosed between 1990 and 2006 inclusively. A number of UK centres will be recruited and patient data will be collected from hospital medical records. The primary analysis will be a proportional hazards analysis to determine factors which influence progression in patients with clinically localized prostate cancer. An established review process will ensure that uniform Gleason grading and quantitative analysis of the biopsy samples can be made. Corresponding tissue blocks will be requested for further immunohistochemical and molecular marker analysis. Standard clinical markers will be evaluated and a range of new markers will also be studied.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2015-04-09
"DRR67","ODR_2014_221b","Public Health England","Government","To establish systems for prospective enhanced surveillance of HPV type-specific infections and HPV vaccination history for cervical disease.  

Objectives of pilot 
?To identify (retrospectively) up to 125 cancers in women under 30 years in 2011.
?To pilot systems for the collection of enhanced surveillance data (vaccination status and type-specific HPV infection status), including systems for type-specific HPV testing of biopsy material.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 3 (s251)",2015-04-13
"DRR68","ODR1516_004","Royal College of Surgeons Clinical Effectiveness Unit","Independent Sector Organisation","The aim of the audit is to assess the process of care and its outcomes in men diagnosed with prostate cancer in England and Wales. The principal audit questions will examine the following against the available appropriate national clinical standards:
?service delivery and organisation of care in England and Wales
?characteristics of newly-diagnosed prostate cancer, how the cancer was detected and the referral pathway
?diagnostic and staging process and planning of initial treatment
?initial treatments received 
?patient experience and health outcomes 12 months after diagnosis
?overall and disease-free survival
?feasibility of a PSA testing audit in primary care.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2015-04-13
"DRR69","ODR_2014_390","Sandwell and West Birmingham Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","Audit of cause specific survival in ovarian cancer patients treated within the trust.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2015-04-15
"DRR70","ODR_2014_034e","London School of Hygiene & Tropical Medicine","Academic Institution","Several factors have been implicated in contributing to poor cancer outcomes and survival inequalities. They include: 
- Low awareness of cancer symptoms in the general population and among general practitioners 
- Barriers to symptomatic presentation 
- Delay in referral and diagnosis in primary and/or secondary care 
- Comorbidity precluding effective treatment 
- Sub-optimal treatment of cancer patients 

To strengthen the current evidence, we propose to study the entire clinical pathway of cancer patients: from symptomatic presentation in primary care, to diagnostic investigations and specialist referrals, to cancer treatment and patient management after diagnosis. This will be achieved using an up-to-date linkage between existing datasets containing detailed information on the cancer, its management and treatment, and on the primary care events occurring before and after the cancer diagnosis","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2015-04-20
"DRR71","ODR_2014_034g","London School of Hygiene & Tropical Medicine","Academic Institution","Several factors have been implicated in contributing to poor cancer outcomes and survival inequalities. They include: 
- Low awareness of cancer symptoms in the general population and among general practitioners 
- Barriers to symptomatic presentation 
- Delay in referral and diagnosis in primary and/or secondary care 
- Comorbidity precluding effective treatment 
- Sub-optimal treatment of cancer patients 

To strengthen the current evidence, we propose to study the entire clinical pathway of cancer patients: from symptomatic presentation in primary care, to diagnostic investigations and specialist referrals, to cancer treatment and patient management after diagnosis. This will be achieved using an up-to-date linkage between existing datasets containing detailed information on the cancer, its management and treatment, and on the primary care events occurring before and after the cancer diagnosis","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2015-04-30
"DRR72","ODR1516_023","Royal College of Surgeons Clinical Effectiveness Unit","Independent Sector Organisation","The aim of the audit is to assess the process of care and its outcomes in men diagnosed with prostate cancer in England and Wales. The principal audit questions will examine the following against the available appropriate national clinical standards:
?service delivery and organisation of care in England and Wales
?characteristics of newly-diagnosed prostate cancer, how the cancer was detected and the referral pathway
?diagnostic and staging process and planning of initial treatment
?initial treatments received 
?patient experience and health outcomes 12 months after diagnosis
?overall and disease-free survival
?feasibility of a PSA testing audit in primary care?","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2015-04-30
"DRR73","ODR_2014_363a","Leeds Teaching Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","The study proposed is an evaluation of a large radiotherapy service provider in the North of England. Secondary data will be exported from multiple databases in order to determine if there is any correlation between a patient?s geodemographic typology and radiotherapy uptake at the host institution. ?? tests will be used to perform correlation analyses of every patient?s treatment and specified geodemographic variables, such as socioeconomic deprivation.  

The intended outcome of the project will be to increase the knowledge about access to radiotherapy within the region to inform local policies and decisions that might improve equitable access to radiotherapy treatment.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2015-05-11
"DRR74","ODR_2014_363b","Leeds Teaching Hospitals NHS Trust","CQC Registered Health or/and Social Care provider","The study proposed is an evaluation of a large radiotherapy service provider in the North of England. Secondary data will be exported from multiple databases in order to determine if there is any correlation between a patient?s geodemographic typology and radiotherapy uptake at the host institution. ?? tests will be used to perform correlation analyses of every patient?s treatment and specified geodemographic variables, such as socioeconomic deprivation.  

The intended outcome of the project will be to increase the knowledge about access to radiotherapy within the region to inform local policies and decisions that might improve equitable access to radiotherapy treatment.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2015-05-11
"DRR75","ODR_2014_347","London North West Healthcare NHS Trust","CQC Registered Health or/and Social Care provider","The purpose of this study is to evaluate colorectal cancer services at London North West NHS Trust between the years 2004-2013, including survival outcomes.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2015-05-13
