"Row ID","ODR Reference","Data Recipient","Organisation Type","Purpose","Data Source","Data type provided to applicant ","Legal basis for the release of personally identifiable data","Date of release"
"DRR145","ODR1516_050","London School of Hygiene and Tropical Medicine","Academic Institution","The data is requested to support a programme of applied public health research which aims to produce a comprehensive range of information on patterns of cancer survival and their impact on the population and provide insight into the extent and the causes of inequalities in the outcome of cancer treatment. Also aim to evaluate the population impact of strategies designed to improve survival or to reduce inequalities in outcome.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2016-04-05
"DRR148","ODR1516_033","University of Leicester","Academic Institution","The principal aim of the research is to improve the reporting of measures of cancer survival from routine data resources. The research falls into two parts, with the first part developing an interactive online tool and the second part relating to the development and application of a more informative measure of the impact of a diagnosis of cancer on life expectancy.","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-04-05
"DRR153","ODR1516_493","University College London","Academic Institution","The specific aims of ICBP Module 4 are (1) To quantify and compare the time interval from onset of first symptoms to start of treatment. The total time interval will be divided into sub-intervals (Patient interval,  Diagnostic interval, Treatment interval); (2) To assess and compare the proportion of patients entering the cancer pathway through different routes of diagnosis defined as screen detected, urgent referrals with a suspicion of cancer, routine/urgent referrals but not specific for the suspicion of cancer, an elective route, emergency presentation, and other or unknown routes to diagnosis; (3) Identify time intervals where actions to reduce delays could be focussed","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2016-04-14
"DRR151","ODR1516_377","Clinical Practice Research DataLink","Government Agency (Health and Adult Social Care)","Connectivity mapping is a new technique that allows medications to be screened to assess their ability to cause cancer or have anti-cancer properties that are unrelated to the established therapeutic effects of these drugs. This connectivity map process has been implemented and has identified 10 prescription medications (used for non-cancer purposes) that potentially reduce or increase breast cancer risk. The aim of this study is to determine the association between the 10 identified medications (from connectivity mapping) and breast cancer risk.  The study could identify (previously unrecognised) medications which increase the risk of breast cancer development; current licensing and use of such medications may need to be reconsidered. This study also has the potential to identify licensed medications that reduce breast cancer risk and warrant further study in clinical trials.
","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","Regulation 5 (s251)",2016-04-21
"DRR157","ODR1516_163","University of Leeds","Academic Institution","The Yorkshire Specialist Register of Cancer in Children and Young People is an established population-based register of tumours diagnosed in the childhood, adolescent and young adult age ranges.  The primary aim of the Register is to investigate the causes of cancer through the application of epidemiological analyses.  This includes monitoring time trends and investigating geographical patterns of disease across the region. Secondly, our aim is to investigate the delivery of care to young people with cancer in Yorkshire to ensure the best treatment is available; for example by looking at pathways of care and factors that influence survival. 
","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 2 (s251)",2016-05-09
"DRR156","ODR_2014_317","Institute of Cancer Research","Academic Institution","The purpose of this study is to investigate genetic and environmental risk factors for cancer and mortality, with a focus on breast cancer aetiology, by establishing and gaining long-term follow up of a cohort of more than 100,000 women in the UK aged 16 years and older at entry. ","National Cancer Registration and Analysis Service","Personally identifiable","Consent",2016-05-10
"DRR143","ODR1516_050","London School of Hygiene and Tropical Medicine","Academic Institution","The data is requested to support a programme of applied public health research which aims to produce a comprehensive range of information on patterns of cancer survival and their impact on the population and provide insight into the extent and the causes of inequalities in the outcome of cancer treatment. Also aim to evaluate the population impact of strategies designed to improve survival or to reduce inequalities in outcome.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5 (s251)",2016-05-16
"DRR154","ODR1617_023","Royal College of Surgeons Clinical Effectiveness Unit","Independent Sector Organisation","The National Prostate Cancer Audit was established to determine whether the care received by patients with prostate cancer is consistent with recommended practice, including the recently updated NICE guideline covering the diagnostic procedures, treatments, care and support that men who have suspected or diagnosed prostate cancer should be offered (NICE 2014) and to identify areas where improvements can be made. The audit started on the 1st April 2013 and will continue for a minimum of 5 years. 
","National Cancer Registration and Analysis Service","De-personalised (ICO Anonymisation Code of Practice compliant)","No legal gateway required",2016-05-16
"DRR150","ODR1516_354","Public Health England","Government","To establish systems for prospective enhanced surveillance of HPV type-specific infections and HPV vaccination history for cervical disease. Objectives of pilot : (1)  To identify (retrospectively) up to 125 cancers in women under 30 years in 2011; (2)  to pilot systems for the collection of enhanced surveillance data (vaccination status and type-specific HPV infection status), including systems for type-specific HPV testing of biopsy material.
","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 3 (s251)",2016-05-20
"DRR149","ODR_2014_335","Queen Mary's University London","Academic Institution","The project aims to ascertain by note review whether our Autoimmune hepatitis   patients treated with Azathioprine have an increased incidence of clinically manifest malignancy over (a) the rate observed by of Johnson et al (NEJM 1995; 333:958)) and (b) above the background cancer rate in Yorkshire as recorded by the Yorkshire cancer Registry.  Cancer rate in Azathioprine treated patients will also be compared to that in the (approximately 30) patients with AIH who were not treated with Azathioprine.  
","National Cancer Registration and Analysis Service","Anonymised ","No legal gateway required",2016-05-25
