"Row ID","ODR Reference","Data Recipient","Organisation Type","Purpose","Data Source","Data type provided to applicant ","Legal basis for the release of personally identifiable data","Date of release","Column1"
"DRR220","ODR1617_278","Queen Mary's, University of London","Academic Institution","The Data Recipient has been commissioned by Public Health England to conduct a commissioned HPV screening evaluation  to provide PHE Screening Programmes with results on (1) rates of compliance with 1 year recall (HPV positive/cytology negative women), and on the cytological outcomes in these women, (2) outcome of colposcopy in those women referred following retesting, (3) study implications of a local policy of referral to colposcopy at 12 months for women persistently positive with HPV16/18 with negative cytology (4) overall compliance, cytological and colposcopy outcomes in women recalled at 24 months, and (5) other adhoc analyses as directed by PHE Screening Programmesl.
","National Cervical Cancer Screening Programme","Personally identifiable","Regulation 5",2017-04-10,
"DRR221","ODR1617_101","Royal Surrey County Hospitals NHS Foundation Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will access bowel cancer screening data to evaluate a six-month trial which was run by PHE Screening to test the implications of replacing the current guaiac-based faecal occult blood test (gFOBt) with a faecal immunochemical test (FIT) for haemoglobin. Analysis will (1) elapsed time between critical sampling/analysis dates, (2) FIT sample stability, (3) sampling and laboratory errors, (4) haemoglobin concentrations (characteristics of real samples [range, seasonal variation, screening history etc.]), (5) performance of FIT analysers in real-life scenario, (6) characteristics of diseases diagnosed and (7) colonoscopy workload by Screening Centre patient episodes.","National Bowel Cancer Screening Programme","De-personalised","No legal gateway required",2017-04-12,
"DRR222","ODR1617_348","University of Birmingham","Academic Institution","The Data Recipient will access newborn pulse oximetry screening to explore the relative cost effectiveness of newborn pulse oximetry screening to target both CCHD and other serious conditions, versus targeting CCHD alone when performed on babies within 24 hours of birth and compare these strategies to no pulse oximetry screening. A model based economic evaluation that compares alternative ?targets? for screening will be compared with a situation of no pulse oximetry screening.","PHE Screening","Personally identifiable","Consent",2017-04-13,
"DRR223","ODR1516_266/A1","University of Leicester","Academic Institution","The Data Recipient will access cancer registration data to develop and apply statistical methods to optimise the use of population based cancer data combining methodological development with application of the new methods in applied research using English population based cancer survival data. Three specific aims are as follows, (I) Further develop methods to partition cancer related mortality into that due to cancer and that due to excess cardiovascular disease. (ii) Develop computationally efficient methods for competing risks data, applying the methods to modelling the time to hepatic resection for colorectal cancer.  (iii) Further develop methods for estimating the loss in expectation of life associated with a diagnosis of cancer with the aim of decomposition into different causes.","National Cancer Registration and Analysis Service","De-personalised","No legal gateway required",2017-04-21,
"DRR224","ODR1718_012","Clinical Research Practice DataLink","Government Agency (Health and Adult Social Care)","The Data Recipient will access cancer registration to link to CPRD Gold Primary Care Data through the CPRD Linkage Scheme; to  independently evaluate a colorectal cancer algorithm based on machine learning methods, which was developed by Medial Research using primary care data in Israel (including age, gender and CBC indices.","National Cancer Registration and Analysis Service","De-personalised","Regulation 5",2017-04-21,
"DRR225","ODR1617_093/A1","University College London Hospitals NHS Foundation Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will access cancer registration for a cohort study, BRIGHTLIGHT - a national evaluation of teenage and young adult cancer services in England. The study recruited young people diagnosed between July 2012 and December 2014 with the assistance of the North West Cancer Intelligence Service, who circulated patient details from the Cancer Waits Dataset to clinical teams in hospitals who were recruiting to BRIGHTLIGHT. This enabled researchers to identify all young people irrespective of their diagnosis, i.e., if the researcher was oncology background could then recruit patients with haematological malignancies.","National Cancer Registration and Analysis Service","De-personalised","Regulation 5",2017-04-24,
"DRR226","ODR1617_093","University College London Hospitals NHS Foundation Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will access cancer registration for a cohort study, BRIGHTLIGHT - a national evaluation of teenage and young adult cancer services in England. The study recruited young people diagnosed between July 2012 and December 2014 with the assistance of the North West Cancer Intelligence Service, who circulated patient details from the Cancer Waits Dataset to clinical teams in hospitals who were recruiting to BRIGHTLIGHT. This enabled researchers to identify all young people irrespective of their diagnosis, i.e., if the researcher was oncology background could then recruit patients with haematological malignancies.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5",2017-04-24,
"DRR227","ODR1718_011","Clinical Research Practice DataLink","Government Agency (Health and Adult Social Care)","The Data Recipient will access cancer registration data and link the data to CPRD Gold to support a study into healthcare burden and the epidemiology of venous thromboembolism in the ?real world?. The study aims (1) to describe the epidemiology of first and recurrent episodes of VTE and other outcomes, (2) to quantify the risk factors for first and recurrent episodes of VTE, (3) to describe the treatment of VTE in primary care and (4) to investigate the burden of illness of VTE.","National Cancer Registration and Analysis Service","De-personalised","Regulation 5",2017-04-24,
"DRR228","ODR1617_370","Institute of Cancer Research","Academic Institution","The Data Recipient will access cancer registration to support the recruitment of patients diagnosed f male breast cancer, to enable eligible research participants to be approached to see if they would like to participate in a research study with the following objectives; (1) to investigate the genetic, environmental and behavioural aetiology of breast cancer in men; (2) investigate the risk of breast cancer in female relatives of men with breast cancer, according (for the first time) to the genotype of the male case, in order to provide more accurate risk estimates for women who have men in their family with breast cancer; and (3) investigate the pathology of male breast cancers in order to compare the disease with that in females and to identify novel therapeutic targets.","National Cancer Registration and Analysis Service","Personally identifiable","Regulation 5",2017-04-25,
"DRR229","ODR1617_142","The Royal Marsden Foundation Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will access cancer registration data to support the development of a new payments and contracting model for the delivery of cancer services across the cancer vanguard. The model will cost cancer care for the selected scope of patients and pathways (following on from the scoping exercise), by organisation, commissioner and system level. The model will also project forward the anticipated cost of cancer using historical trends and be flexed for various modelling assumptions.","National Cancer Registration and Analysis Service","De-personalised","No legal gateway required",2017-05-03,
"DRR230","ODR1516_165","National Institute of Health (NIH)","Other","The Data Recipient will access cancer registration data to (1) examine temporal trends and age-period-cohort effects of fatal, metastatic and non-fatal prostate cancer incidence in the US and UK; (2) evaluate the influence of race/ethnicity on fatal, metastatic and non-fatal temporal trends and age, period, and cohort effects in the US and UK; (3) examine the influence of PSA screening and treatment patterns on fatal, metastatic and non-fatal temporal trends and age, period, and cohort effects in the US and UK since 1975; and (4) assess whether there are differential trends in the incidence rates of fatal, metastatic and non-fatal in the USA versus the UK since 1975.","National Cancer Registration and Analysis Service","Anonymised (k3)","No legal gateway required",2017-05-08,
"DRR231","ODR1516_259/A3","TraceMedia Projects","Commercial","The Data Recipient will access linked cancer registration data to visualise the patient pathway in two distinct ways (1) to plot each event for a patient to give a very detailed view and (2) to produce a summary for the length of each patients pathway. The tools are being designed for clinical staff to view details of their patients easily and identify anything untoward in a pathway, such as delays, with ease, as well as for commissioners and Trusts to better performance manage pathways by being able to easily see pathway lengths, events and which provider is responsible for which part. The data supplied will be perturbed. This work is commissioned by PHE.","National Cancer Registration and Analysis Service","Anonymised (k3)","No legal gateway required",2017-05-09,
"DRR232","ODR1617_129","North Bristol NHS Trust","CQC Registered Health or/and Social Care provider","The Data Recipient will access cancer registration data for a translational research study to examine peroxisome proliferator-activated receptor (PPAR) expression,  involved in glioma development and establish a relationship with clinical outcomes. The research aims to better predict prognosis and outcome in patients diagnosed with glioma. Data will be used to annotate samples provided to the Trust.","National Cancer Registration and Analysis Service","Personally identifiable","Direct Care",2017-05-11,
"DRR233","ODR1718_018","University of York","Government Agency (Health and Adult Social Care)","The Data Recipient will access cervical screening data for the purpose of a systematic review and economic modelling of adjunctive colposcopy technologies for assessing suspected cervical abnormalities in people referred for colposcopy as part of the NHS cervical screening programme. The review will assess the clinical and cost-effectiveness of the DYSIS digital video colposcope with DYSISmap (DySIS Medical) and Zedscan device (Zilico Ltd) adjunctive colposcopy technologies.","National Cervical Cancer Screening Programme","Anonymised (k3)","No legal gateway required",2017-05-18,
